<Header>
User name: 
Location: probe cabin
# of Location: 2
Model: 11-D
Serial No.: 11D20167
Firmware revision: 12.50E
Software revision: 1179-V2-10 (23-01-2023)
Unit: Mass fraction [ug/m3]
C-factor: 1,00
location factor: 1,00
Comment: test room aerosol conditions
online data
<Data>
[d&t31.12.2035 11:50:55]	TSP [ug/m3]	PM10 [ug/m3]	PM4 [ug/m3]	PM2,5 [ug/m3]	PM1 [ug/m3]	PMcoarse [ug/m3]	Inhalable [ug/m3]	Thoracic [ug/m3]	Respirable [ug/m3]	pm10-IAQ [ug/m3]	pm2,5-IAQ [ug/m3]	pm1-IAQ [ug/m3]
14.08.2025 10:41:08	22,5	22,1	16,8	9,6	5,8	12,4	19,7	19,2	13,3	19,7	7,5	4,7
14.08.2025 10:41:14	19,3	18,8	13,8	8,6	5,5	10,2	17,2	16,8	11,1	17,2	6,8	4,4
14.08.2025 10:41:20	12,5	12,5	11,3	8,2	5,7	4,3	10,4	10,3	9,1	10,4	6,5	4,6
14.08.2025 10:41:26	27,6	21,4	14,1	8,2	4,8	13,2	23,6	20,9	11,5	21,1	6,4	3,9
14.08.2025 10:41:32	18,2	17,9	12,4	7,3	5,1	10,6	18,1	17,6	10,9	18,1	5,8	4,1
14.08.2025 10:41:38	17,4	17,0	12,7	9,4	5,9	7,6	15,9	15,4	10,3	15,9	7,4	4,7
14.08.2025 10:41:44	24,1	24,1	20,6	11,2	5,7	12,9	19,0	19,0	16,0	19,0	8,7	4,6
14.08.2025 10:41:50	38,8	32,2	22,7	11,9	5,9	20,3	32,2	29,1	17,6	29,6	9,2	4,8
14.08.2025 10:41:56	26,2	19,9	12,9	9,0	6,3	10,9	22,4	19,5	10,4	19,8	7,1	5,1
14.08.2025 10:42:02	19,1	17,1	9,7	6,3	5,1	10,8	18,5	17,1	8,2	18,4	5,0	4,2
14.08.2025 10:42:08	16,5	16,5	13,8	8,8	5,8	7,7	14,0	14,0	11,2	14,0	7,0	4,7
14.08.2025 10:42:14	22,6	22,5	16,0	7,6	5,4	14,9	19,3	19,1	12,8	19,3	6,0	4,4
14.08.2025 10:42:20	32,0	25,4	15,8	9,2	5,3	16,2	28,2	25,0	12,7	25,6	7,2	4,2
