Datensatz 1:Zeit(s),Datensatz 1:Force 1(N),Datensatz 1:Respiration Rate 1(bpm),Datensatz 1:Force 2(N),Datensatz 1:Respiration Rate 2(bpm),Datensatz 2:Zeit(s),Datensatz 2:Force 1(N),Datensatz 2:Respiration Rate 1(bpm),Datensatz 2:Force 2(N),Datensatz 2:Respiration Rate 2(bpm),Datensatz 3:Zeit(s),Datensatz 3:Force 1(N),Datensatz 3:Respiration Rate 1(bpm),Datensatz 3:Force 2(N),Datensatz 3:Respiration Rate 2(bpm),Datensatz 4:Zeit(s),Datensatz 4:Force 1(N),Datensatz 4:Respiration Rate 1(bpm),Datensatz 4:Force 2(N),Datensatz 4:Respiration Rate 2(bpm)
35.799999999999997,10.595726013183594,,8.7195053100585938,,,,,,,35.799999999999997,9.6222686767578125,,9.22283935546875,,35.799999999999997,24.604789733886719,,10.814605712890625,
35.899999999999999,10.608497619628906,,8.7552719116210938,,,,,,,35.899999999999999,10.373435974121094,,9.7823867797851562,,35.899999999999999,20.199970245361328,,10.173301696777344,
36,10.654487609863281,,8.8447036743164062,,,,,,,36,11.329010009765625,,10.367477416992188,,36,17.116085052490234,,9.37103271484375,
36.100000000000001,10.636604309082031,,8.9213485717773438,,,,,,,36.100000000000001,12.465980529785156,,10.875923156738281,,36.100000000000001,15.452781677246094,,7.945343017578125,
36.200000000000003,10.662155151367188,,8.9468994140625,,,,,,,36.200000000000003,13.628509521484375,,11.312828063964844,,36.200000000000003,14.555976867675781,,6.3024749755859375,
36.299999999999997,10.613609313964844,,8.9315719604492188,,,,,,,36.299999999999997,14.773147583007812,,11.72418212890625,,36.299999999999997,13.781806945800781,,5.0530776977539062,
36.399999999999999,10.490966796875,,8.865142822265625,,,,,,,36.399999999999999,15.856468200683594,,12.107437133789062,,36.399999999999999,12.951431274414062,,4.1792678833007812,
36.5,10.580390930175781,,8.8625869750976562,,,,,,,36.5,16.855472564697266,,12.470245361328125,,36.5,12.38677978515625,,3.5379638671875,
36.600000000000001,10.930427551269531,,9.0056686401367188,,,,,,,36.600000000000001,17.719062805175781,,12.79217529296875,,36.600000000000001,11.809349060058594,,3.0397415161132812,
36.700000000000003,11.359672546386719,,9.22283935546875,,,,,,,36.700000000000003,18.051212310791016,,12.930145263671875,,36.700000000000003,11.160377502441406,,2.702484130859375,
36.799999999999997,11.868110656738281,,9.5371017456054688,,,,,,,36.799999999999997,17.642414093017578,,12.761512756347656,,36.799999999999997,10.697921752929688,,2.4878616333007812,
36.899999999999999,12.60650634765625,,10.009780883789062,,,,,,,36.899999999999999,16.804374694824219,,12.375709533691406,,36.899999999999999,10.115386962890625,,2.4214324951171875,
37,13.549301147460938,,10.615318298339844,,,,,,,37,15.813034057617188,,11.926033020019531,,37,9.47918701171875,,2.5108566284179688,
37.100000000000001,14.530426025390625,,11.236183166503906,,,,,,,37.100000000000001,14.737380981445312,,11.486572265625,,37.100000000000001,8.9937362670898438,,2.6130523681640625,
37.200000000000003,15.470664978027344,,11.72418212890625,,,,,,,37.200000000000003,13.551856994628906,,11.141647338867188,,37.200000000000003,8.5542831420898438,,2.702484130859375,
37.299999999999997,16.423679351806641,,12.186637878417969,,,,,,,37.299999999999997,12.31268310546875,,10.822273254394531,,37.299999999999997,8.1327056884765625,,2.8455581665039062,
37.399999999999999,16.970447540283203,,12.470245361328125,,,,,,,37.399999999999999,11.285575866699219,,10.487564086914062,,37.399999999999999,7.6446990966796875,,2.9937515258789062,
37.5,16.730278015136719,,12.304168701171875,,,,,,,37.5,10.631492614746094,,10.224403381347656,,37.5,7.3202133178710938,,3.1291656494140625,
37.600000000000001,15.968887329101562,,11.880043029785156,,,,,,,37.600000000000001,10.266128540039062,,10.004669189453125,,37.600000000000001,7.4173049926757812,,3.417877197265625,
37.700000000000003,14.992881774902344,,11.39459228515625,,,,,,,37.700000000000003,9.9160919189453125,,9.7261734008789062,,37.700000000000003,8.0049514770507812,,4.0515213012695312,
37.799999999999997,14.029647827148438,,10.909141540527344,,,,,,,37.799999999999997,9.5916061401367188,,9.4119110107421875,,37.799999999999997,8.827667236328125,,4.84356689453125,
37.899999999999999,13.056190490722656,,10.40069580078125,,,,,,,37.899999999999999,9.5430679321289062,,9.1666336059570312,,37.899999999999999,9.617156982421875,,5.4414443969726562,
38,12.12872314453125,,9.894805908203125,,,,,,,38,9.88543701171875,,8.9520111083984375,,38,10.575286865234375,,6.0035400390625,
